Cell 1 - 5e-3,,Cell 2 - 2.5e-3,,Cell 3 - 1.25e-3,,Cell 4 - 6.25e-4,,Cell 5 - 3.125e-4,,Cell 6 - 1.561e-4,,
Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,Time (min),Abs,
5.575194791E-006,0.5416054726,0.04263431951,0.4709762037,0.08527127653,0.3767417073,0.1279087961,0.2784732878,0.1705459952,0.2098466009,0.213183701,0.1438325942,
0.3564369082,0.6612594128,0.3990736902,0.6301609278,0.4417099059,0.5007845163,0.4843479097,0.3750061095,0.5269855857,0.294007808,0.5696223974,0.1726119071,
0.7128741741,0.6967021227,0.7555102706,0.7742543221,0.7981470823,0.6454988122,0.8407847881,0.4738999903,0.8834223151,0.3795009851,0.9260597825,0.2055398971,
1.069313049,0.8129284978,1.111948967,0.9185461998,1.154585958,0.7949951887,1.197224021,0.5743160248,1.239861012,0.4598887861,1.282498002,0.236591801,
1.425750017,0.9276949763,1.468387008,1.077664018,1.511023045,0.9309937954,1.553660989,0.6749594808,1.596297979,0.5398396254,1.638936996,0.2689112127,
1.782189012,1.035678983,1.824825048,1.202075005,1.867462039,1.069694042,1.910099983,0.7740207911,1.952736974,0.6155220866,1.995375037,0.3011985123,
2.138626099,1.141075969,2.181262016,1.355739951,2.22390008,1.205989003,2.266536951,0.8686333895,2.309174061,0.6882178783,2.351811886,0.3326359093,

Cell 1 - 5e-3,
Cell 1 - 5e-3
Collection Time: 10/21/2020 1:11:09 PM
Operator Name  :
ADL Shell Version 5.0.0.1002
Method Log     :
Method Name    : C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Date/Time stamp: 10/21/2020 9:07:55 AM
Method Modifications:
COM Port Number Changed: 10/21/2020 8:37:59 AM, Old:Off, New:-1
COM Port Number Changed: 10/21/2020 8:38:00 AM, Old:-1, New:
Connected to Controller Changed: 10/21/2020 8:38:07 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:38:09 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 8:38:18 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:38:18 AM, Old:, New:1111
Sample ID 2 Changed: 10/21/2020 8:38:18 AM, Old:, New:2222
Sample ID 3 Changed: 10/21/2020 8:38:18 AM, Old:, New:3333
Sample ID 4 Changed: 10/21/2020 8:38:18 AM, Old:, New:4444
Sample ID 5 Changed: 10/21/2020 8:38:18 AM, Old:, New:5555
Sample ID 6 Changed: 10/21/2020 8:38:18 AM, Old:, New:6666
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:None, New:Abs Only
Data Simulation Changed: 10/21/2020 8:38:18 AM, Old:Abs Only, New:None
Parameter Setup First Time Changed: 10/21/2020 8:38:18 AM, Old:1, New:0
Method Changed: 10/21/2020 8:38:24 AM, Old:Ramp T, New:2
Method Changed: 10/21/2020 8:38:24 AM, Old:2, New:Hold T
Hold Temperature Changed: 10/21/2020 8:38:31 AM, Old:37, New:4
Time Interval Changed: 10/21/2020 8:38:32 AM, Old:0.2, New:0.3
Maximum Time Changed: 10/21/2020 8:38:34 AM, Old:60, New:5
Equilibration Time Changed: 10/21/2020 8:38:36 AM, Old:    10.00, New:     0.00
Unsaved Data Changed: 10/21/2020 8:38:42 AM, Old:0, New:1
Connected to Controller Changed: 10/21/2020 8:42:02 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 8:42:02 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 8:42:02 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 8:42:03 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 8:42:03 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 8:42:11 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 8:42:13 AM, Old:0, New:-6
Unsaved Data Changed: 10/21/2020 8:42:23 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:42:27 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:47:38 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:47:43 AM, Old:0, New:1
Cary Online Changed: 10/21/2020 8:50:56 AM, Old:-1, New:1
Sample ID 1 Changed: 10/21/2020 8:51:00 AM, Old:1111, New:5e-3
Sample ID 2 Changed: 10/21/2020 8:51:02 AM, Old:2222, New:2.5e-3
Sample ID 3 Changed: 10/21/2020 8:51:05 AM, Old:3333, New:1.25e-3
Sample ID 4 Changed: 10/21/2020 8:51:08 AM, Old:4444, New:6.25e-4
Sample ID 5 Changed: 10/21/2020 8:51:11 AM, Old:5555, New:3.125e-4
Sample ID 6 Changed: 10/21/2020 8:51:28 AM, Old:6666, New:1.561e-4
Equilibration Time Changed: 10/21/2020 8:51:30 AM, Old:     0.00, New:     1.00
Stirrer Speed Changed: 10/21/2020 8:51:35 AM, Old:0, New:1200
Unsaved Data Changed: 10/21/2020 8:52:16 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 8:53:44 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 8:59:45 AM, Old:1, New:0
Saved as C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Opened C:\ADLs_QNW\Version_050\measurements\201021\297K-hold.MAD
Hold Temperature Changed: 10/21/2020 10:26:11 AM, Old:4, New:10
Connected to Controller Changed: 10/21/2020 10:26:25 AM, Old:1, New:0
Cary Online Changed: 10/21/2020 10:26:25 AM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 10:26:25 AM, Old:, New:-1
COM Port Number Changed: 10/21/2020 10:26:26 AM, Old:-1, New:
Number Samples Changed: 10/21/2020 10:26:26 AM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 10:26:33 AM, Old:0, New:1
Number Samples Changed: 10/21/2020 10:26:35 AM, Old:0, New:-6
Cary Online Changed: 10/21/2020 10:26:41 AM, Old:-1, New:1
Unsaved Data Changed: 10/21/2020 10:33:43 AM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 10:39:35 AM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:02:45 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:08:20 PM, Old:1, New:0
Hold Temperature Changed: 10/21/2020 12:15:11 PM, Old:10, New:15
Unsaved Data Changed: 10/21/2020 12:17:33 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:23:26 PM, Old:1, New:0
Unsaved Data Changed: 10/21/2020 12:36:04 PM, Old:0, New:1
Unsaved Data Changed: 10/21/2020 12:40:04 PM, Old:1, New:0
Connected to Controller Changed: 10/21/2020 12:41:41 PM, Old:1, New:0
Cary Online Changed: 10/21/2020 12:41:41 PM, Old:1, New:-1
COM Port Number Changed: 10/21/2020 12:41:41 PM, Old:, New:-1
COM Port Number Changed: 10/21/2020 12:41:42 PM, Old:-1, New:
Number Samples Changed: 10/21/2020 12:41:42 PM, Old:-6, New:0
Connected to Controller Changed: 10/21/2020 12:41:48 PM, Old:0, New:1
Number Samples Changed: 10/21/2020 12:41:51 PM, Old:0, New:-6
Cary Online Changed: 10/21/2020 12:41:57 PM, Old:-1, New:1
Hold Temperature Changed: 10/21/2020 12:42:01 PM, Old:15, New:20
